brand,model,body_type,energy,vehicle_price_eur,co2_mixed_g_km,fuel_consumption_l_100km,electric_range_km,max_power_kw,vehicle_weight_kg,eco_bonus_malus_eur,power_weight_ratio
MINI,MINI,cabriolet,essence,37567,157.5,6.937,0.0,131.0,1305,Malus,0.10038314176245211
RENAULT,KANGOO,combispace,gazole,28050,158.13,6.028,0.0,70.0,1577,Malus,0.04438807863031072
RENAULT,CAPTUR,ts terrains/chemins,ess+elec hnr,30200,142.43,6.302,0.0,116.0,1321,Malus,0.08781226343679031
VOLKSWAGEN,CADDY,combispace,essence,36003,170.4,7.512,0.0,84.0,1497,Malus,0.056112224448897796
MINI,MINI,berline,essence,40700,162.4,7.138,0.0,170.0,1275,Malus,0.13333333333333333
B.M.W.,SERIE 1,berline,essence,47600,173.3,7.587,0.0,195.0,1445,Malus,0.13494809688581316
FIAT,500,berline,electric,32267,,0.0,189.6,0.0,1206,Bonus 6000,0.0
FORD,TOURNEO CONNECT,combispace,gazole,34427,150.7,5.747,0.0,90.0,1634,Malus,0.05507955936352509
LAMBORGHIN,URUS,ts terrains/chemins,essence,205715,325.0,12.7,0.0,478.0,2197,Malus,0.21756941283568504
MINI,MINI,berline,essence,27150,140.1,6.161,0.0,75.0,1180,Neutre 0,0.0635593220338983
B.M.W.,SERIE X,ts terrains/chemins,gazole,50717,163.6,6.243,0.0,140.0,1605,Malus,0.08722741433021806
VOLKSWAGEN,CADDY,combispace,gazole,41043,150.7,5.747,0.0,90.0,1646,Malus,0.054678007290400975
KIA,PICANTO,berline,essence,18773,124.0,5.455,0.0,73.6,959,Neutre 0,0.0767466110531804
B.M.W.,SERIE 1,berline,essence,32798,154.9,6.815,0.0,100.0,1290,Malus,0.07751937984496124
B.M.W.,SERIE 5,break,elec+essenc hr,70838,52.42,2.3,46.4,135.0,1960,Neutre 0,0.06887755102040816
B.M.W.,SERIE X,ts terrains/chemins,essence,46817,168.6,7.406,0.0,131.0,1470,Malus,0.0891156462585034
B.M.W.,SERIE X,ts terrains/chemins,gazole,50717,163.6,6.243,0.0,140.0,1605,Malus,0.08722741433021806
CITROEN,JUMPY SPACE TOURER,minibus,electric,52450,,0.0,285.0,0.0,2086,Bonus 2000,0.0
KIA,PROCEED,berline,essence,32033,141.7,6.252,0.0,117.5,1323,Malus,0.08881330309901739
B.M.W.,SERIE 4,berline,ess+elec hnr,71000,196.4,8.635,0.0,275.0,1825,Malus,0.1506849315068493
RENAULT,TRAFIC,minibus,gazole,45500,206.39,7.861,0.0,110.0,1988,Malus,0.05533199195171026
VOLKSWAGEN,CADDY,combispace,gazole,32660,145.2,5.538,0.0,75.0,1535,Malus,0.048859934853420196
SKODA,OCTAVIA,berline,ess+elec hnr,30457,124.7,5.485,0.0,81.0,1266,Neutre 0,0.06398104265402843
B.M.W.,SERIE X,ts terrains/chemins,gaz+elec hnr,55100,171.8,6.56,0.0,110.0,1810,Malus,0.06077348066298342
FORD,FIESTA,berline,ess+elec hnr,24190,136.39,6.046,0.0,91.9,1136,Neutre 0,0.08089788732394367
